,event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),incremental_revenue,incremental_sold_units,revenue_before_promo,revenue_after_promo,city,product_name,category,campaign_name,start_date,end_date
11,8f25a6,STHYD-6,CAMP_SAN_01,P15,3000,500 Cashback,126,302,528000.00,176,378000.00,906000.00,Hyderabad,Atliq_Home_Essential_8_Product_Combo,Combo1,Sankranti,10-01-2024,16-01-2024
12,5c3c33,STCHE-6,CAMP_DIW_01,P12,62,50% OFF,154,207,3286.00,53,9548.00,12834.00,Chennai,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Diwali,12-11-2023,18-11-2023
13,d290a1,STBLR-3,CAMP_DIW_01,P04,290,25% OFF,343,270,-21170.00,-73,99470.00,78300.00,Bengaluru,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Diwali,12-11-2023,18-11-2023
14,635862,STVSK-4,CAMP_SAN_01,P02,860,33% OFF,348,480,113520.00,132,299280.00,412800.00,Visakhapatnam,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
15,c0ecb5,STCHE-2,CAMP_SAN_01,P07,300,BOGOF,43,167,37200.00,124,12900.00,50100.00,Chennai,Atliq_Curtains,Home Care,Sankranti,10-01-2024,16-01-2024
16,182caa,STCHE-5,CAMP_SAN_01,P06,415,25% OFF,39,33,-2490.00,-6,16185.00,13695.00,Chennai,Atliq_Fusion_Container_Set_of_3,Home Care,Sankranti,10-01-2024,16-01-2024
17,c4db5b,STTRV-0,CAMP_DIW_01,P01,172,33% OFF,164,236,12384.00,72,28208.00,40592.00,Trivandrum,Atliq_Masoor_Dal (1KG),Grocery & Staples,Diwali,12-11-2023,18-11-2023
18,94f48c,STVSK-1,CAMP_SAN_01,P06,415,25% OFF,22,16,-2490.00,-6,9130.00,6640.00,Visakhapatnam,Atliq_Fusion_Container_Set_of_3,Home Care,Sankranti,10-01-2024,16-01-2024
19,7ef92f,STHYD-5,CAMP_SAN_01,P07,300,BOGOF,55,213,47400.00,158,16500.00,63900.00,Hyderabad,Atliq_Curtains,Home Care,Sankranti,10-01-2024,16-01-2024
20,0f422c,STBLR-0,CAMP_DIW_01,P14,1020,BOGOF,42,168,128520.00,126,42840.00,171360.00,Bengaluru,Atliq_waterproof_Immersion_Rod,Home Appliances,Diwali,12-11-2023,18-11-2023
21,1e9a06,STCHE-4,CAMP_DIW_01,P13,350,BOGOF,84,338,88900.00,254,29400.00,118300.00,Chennai,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Diwali,12-11-2023,18-11-2023
22,02ebe9,STBLR-8,CAMP_DIW_01,P11,190,50% OFF,66,88,4180.00,22,12540.00,16720.00,Bengaluru,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Diwali,12-11-2023,18-11-2023
23,260ff2,STMYS-2,CAMP_SAN_01,P01,172,33% OFF,204,291,14964.00,87,35088.00,50052.00,Mysuru,Atliq_Masoor_Dal (1KG),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
24,7fc923,STTRV-0,CAMP_SAN_01,P08,1190,BOGOF,19,74,65450.00,55,22610.00,88060.00,Trivandrum,Atliq_Double_Bedsheet_set,Home Care,Sankranti,10-01-2024,16-01-2024
25,b08c12,STMDU-3,CAMP_DIW_01,P03,156,25% OFF,227,202,-3900.00,-25,35412.00,31512.00,Madurai,Atliq_Suflower_Oil (1L),Grocery & Staples,Diwali,12-11-2023,18-11-2023
26,ca7298,STCBE-2,CAMP_SAN_01,P15,3000,500 Cashback,85,228,429000.00,143,255000.00,684000.00,Coimbatore,Atliq_Home_Essential_8_Product_Combo,Combo1,Sankranti,10-01-2024,16-01-2024
27,bf33ae,STMYS-0,CAMP_DIW_01,P14,1020,BOGOF,59,182,125460.00,123,60180.00,185640.00,Mysuru,Atliq_waterproof_Immersion_Rod,Home Appliances,Diwali,12-11-2023,18-11-2023
28,35fb5b,STCBE-2,CAMP_DIW_01,P13,350,BOGOF,50,190,49000.00,140,17500.00,66500.00,Coimbatore,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Diwali,12-11-2023,18-11-2023
29,def6ff,STMDU-0,CAMP_DIW_01,P11,190,50% OFF,70,89,3610.00,19,13300.00,16910.00,Madurai,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Diwali,12-11-2023,18-11-2023
30,2f3e5d,STCHE-2,CAMP_SAN_01,P01,172,33% OFF,333,402,11868.00,69,57276.00,69144.00,Chennai,Atliq_Masoor_Dal (1KG),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
31,ca3893,STMYS-1,CAMP_SAN_01,P09,90,25% OFF,52,39,-1170.00,-13,4680.00,3510.00,Mysuru,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Sankranti,10-01-2024,16-01-2024
32,922e6a,STBLR-8,CAMP_SAN_01,P05,55,25% OFF,34,24,-550.00,-10,1870.00,1320.00,Bengaluru,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Sankranti,10-01-2024,16-01-2024
33,4f0587,STMDU-0,CAMP_SAN_01,P08,1190,BOGOF,33,136,122570.00,103,39270.00,161840.00,Madurai,Atliq_Double_Bedsheet_set,Home Care,Sankranti,10-01-2024,16-01-2024
34,fa5b45,STVJD-1,CAMP_SAN_01,P08,1190,BOGOF,27,109,97580.00,82,32130.00,129710.00,Vijayawada,Atliq_Double_Bedsheet_set,Home Care,Sankranti,10-01-2024,16-01-2024
35,df45ee,STHYD-3,CAMP_DIW_01,P01,172,33% OFF,309,534,38700.00,225,53148.00,91848.00,Hyderabad,Atliq_Masoor_Dal (1KG),Grocery & Staples,Diwali,12-11-2023,18-11-2023
36,f3ac85,STBLR-5,CAMP_SAN_01,P03,200,BOGOF,348,1350,200400.00,1002,69600.00,270000.00,Bengaluru,Atliq_Suflower_Oil (1L),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
37,292ca5,STHYD-2,CAMP_DIW_01,P04,290,25% OFF,287,220,-19430.00,-67,83230.00,63800.00,Hyderabad,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Diwali,12-11-2023,18-11-2023
38,620715,STMYS-3,CAMP_SAN_01,P03,200,BOGOF,340,1485,229000.00,1145,68000.00,297000.00,Mysuru,Atliq_Suflower_Oil (1L),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
39,7e9777,STVJD-1,CAMP_DIW_01,P08,1190,BOGOF,24,82,69020.00,58,28560.00,97580.00,Vijayawada,Atliq_Double_Bedsheet_set,Home Care,Diwali,12-11-2023,18-11-2023
40,761785,STBLR-4,CAMP_SAN_01,P14,1020,BOGOF,121,474,360060.00,353,123420.00,483480.00,Bengaluru,Atliq_waterproof_Immersion_Rod,Home Appliances,Sankranti,10-01-2024,16-01-2024
41,eb3bea,STVSK-2,CAMP_SAN_01,P15,3000,500 Cashback,109,238,387000.00,129,327000.00,714000.00,Visakhapatnam,Atliq_Home_Essential_8_Product_Combo,Combo1,Sankranti,10-01-2024,16-01-2024
42,276150,STCBE-3,CAMP_SAN_01,P07,300,BOGOF,33,128,28500.00,95,9900.00,38400.00,Coimbatore,Atliq_Curtains,Home Care,Sankranti,10-01-2024,16-01-2024
43,3beb46,STMYS-2,CAMP_SAN_01,P13,350,BOGOF,81,208,44450.00,127,28350.00,72800.00,Mysuru,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Sankranti,10-01-2024,16-01-2024
44,47af00,STVJD-1,CAMP_DIW_01,P03,156,25% OFF,183,150,-5148.00,-33,28548.00,23400.00,Vijayawada,Atliq_Suflower_Oil (1L),Grocery & Staples,Diwali,12-11-2023,18-11-2023
45,627200,STCBE-4,CAMP_DIW_01,P14,1020,BOGOF,36,111,76500.00,75,36720.00,113220.00,Coimbatore,Atliq_waterproof_Immersion_Rod,Home Appliances,Diwali,12-11-2023,18-11-2023
46,bc8315,STHYD-1,CAMP_DIW_01,P12,62,50% OFF,122,135,806.00,13,7564.00,8370.00,Hyderabad,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Diwali,12-11-2023,18-11-2023
47,1f083a,STVJD-0,CAMP_SAN_01,P06,415,25% OFF,16,14,-830.00,-2,6640.00,5810.00,Vijayawada,Atliq_Fusion_Container_Set_of_3,Home Care,Sankranti,10-01-2024,16-01-2024
48,c1e0b6,STCHE-6,CAMP_SAN_01,P01,172,33% OFF,273,379,18232.00,106,46956.00,65188.00,Chennai,Atliq_Masoor_Dal (1KG),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
49,f60d93,STCBE-0,CAMP_DIW_01,P05,55,25% OFF,78,75,-165.00,-3,4290.00,4125.00,Coimbatore,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Diwali,12-11-2023,18-11-2023
50,a10402,STVSK-2,CAMP_SAN_01,P02,860,33% OFF,295,436,121260.00,141,253700.00,374960.00,Visakhapatnam,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
51,741bef,STMYS-0,CAMP_SAN_01,P13,350,BOGOF,114,287,60550.00,173,39900.00,100450.00,Mysuru,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Sankranti,10-01-2024,16-01-2024
52,105788,STCHE-0,CAMP_SAN_01,P07,300,BOGOF,58,232,52200.00,174,17400.00,69600.00,Chennai,Atliq_Curtains,Home Care,Sankranti,10-01-2024,16-01-2024
53,a85a9a,STHYD-2,CAMP_SAN_01,P10,50,25% OFF,42,31,-550.00,-11,2100.00,1550.00,Hyderabad,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Sankranti,10-01-2024,16-01-2024
54,4.47E+06,STVJD-0,CAMP_SAN_01,P04,370,BOGOF,253,1017,282680.00,764,93610.00,376290.00,Vijayawada,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
55,830e9a,STCHE-1,CAMP_DIW_01,P01,172,33% OFF,325,396,12212.00,71,55900.00,68112.00,Chennai,Atliq_Masoor_Dal (1KG),Grocery & Staples,Diwali,12-11-2023,18-11-2023
56,29524a,STBLR-9,CAMP_SAN_01,P10,50,25% OFF,40,36,-200.00,-4,2000.00,1800.00,Bengaluru,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Sankranti,10-01-2024,16-01-2024
57,3ce076,STMLR-1,CAMP_DIW_01,P11,190,50% OFF,38,50,2280.00,12,7220.00,9500.00,Mangalore,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Diwali,12-11-2023,18-11-2023
58,32fa85,STCHE-3,CAMP_DIW_01,P05,55,25% OFF,106,92,-770.00,-14,5830.00,5060.00,Chennai,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Diwali,12-11-2023,18-11-2023
59,42f304,STCBE-3,CAMP_DIW_01,P06,415,25% OFF,66,57,-3735.00,-9,27390.00,23655.00,Coimbatore,Atliq_Fusion_Container_Set_of_3,Home Care,Diwali,12-11-2023,18-11-2023
60,a929ed,STHYD-5,CAMP_DIW_01,P03,156,25% OFF,358,347,-1716.00,-11,55848.00,54132.00,Hyderabad,Atliq_Suflower_Oil (1L),Grocery & Staples,Diwali,12-11-2023,18-11-2023
61,6dae49,STBLR-1,CAMP_DIW_01,P05,55,25% OFF,117,114,-165.00,-3,6435.00,6270.00,Bengaluru,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Diwali,12-11-2023,18-11-2023
62,3b54c7,STHYD-3,CAMP_DIW_01,P04,290,25% OFF,367,297,-20300.00,-70,106430.00,86130.00,Hyderabad,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Diwali,12-11-2023,18-11-2023
63,7d6e2a,STMLR-0,CAMP_DIW_01,P03,156,25% OFF,166,146,-3120.00,-20,25896.00,22776.00,Mangalore,Atliq_Suflower_Oil (1L),Grocery & Staples,Diwali,12-11-2023,18-11-2023
64,c8ce63,STMDU-0,CAMP_DIW_01,P15,3000,500 Cashback,369,1221,2556000.00,852,1107000.00,3663000.00,Madurai,Atliq_Home_Essential_8_Product_Combo,Combo1,Diwali,12-11-2023,18-11-2023
65,bd1314,STMYS-2,CAMP_SAN_01,P05,55,25% OFF,37,30,-385.00,-7,2035.00,1650.00,Mysuru,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Sankranti,10-01-2024,16-01-2024
66,7634c0,STMLR-0,CAMP_SAN_01,P10,50,25% OFF,15,12,-150.00,-3,750.00,600.00,Mangalore,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Sankranti,10-01-2024,16-01-2024
67,d304f9,STCHE-5,CAMP_DIW_01,P04,290,25% OFF,309,268,-11890.00,-41,89610.00,77720.00,Chennai,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Diwali,12-11-2023,18-11-2023
68,34ac29,STMDU-0,CAMP_DIW_01,P06,415,25% OFF,73,64,-3735.00,-9,30295.00,26560.00,Madurai,Atliq_Fusion_Container_Set_of_3,Home Care,Diwali,12-11-2023,18-11-2023
69,57a7bc,STHYD-5,CAMP_SAN_01,P14,1020,BOGOF,100,391,296820.00,291,102000.00,398820.00,Hyderabad,Atliq_waterproof_Immersion_Rod,Home Appliances,Sankranti,10-01-2024,16-01-2024
70,70e65e,STCBE-0,CAMP_DIW_01,P15,3000,500 Cashback,320,937,1851000.00,617,960000.00,2811000.00,Coimbatore,Atliq_Home_Essential_8_Product_Combo,Combo1,Diwali,12-11-2023,18-11-2023
71,cf2a34,STHYD-3,CAMP_DIW_01,P06,415,25% OFF,106,81,-10375.00,-25,43990.00,33615.00,Hyderabad,Atliq_Fusion_Container_Set_of_3,Home Care,Diwali,12-11-2023,18-11-2023
72,1c1cb7,STHYD-5,CAMP_SAN_01,P10,50,25% OFF,39,35,-200.00,-4,1950.00,1750.00,Hyderabad,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Sankranti,10-01-2024,16-01-2024
73,8.25E+90,STBLR-3,CAMP_DIW_01,P05,55,25% OFF,112,88,-1320.00,-24,6160.00,4840.00,Bengaluru,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Diwali,12-11-2023,18-11-2023
74,ad56bd,STMLR-2,CAMP_DIW_01,P09,110,50% OFF,36,37,110.00,1,3960.00,4070.00,Mangalore,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Diwali,12-11-2023,18-11-2023
75,32efe6,STVSK-3,CAMP_SAN_01,P08,1190,BOGOF,30,81,60690.00,51,35700.00,96390.00,Visakhapatnam,Atliq_Double_Bedsheet_set,Home Care,Sankranti,10-01-2024,16-01-2024
76,eaa64b,STBLR-3,CAMP_SAN_01,P09,90,25% OFF,58,43,-1350.00,-15,5220.00,3870.00,Bengaluru,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Sankranti,10-01-2024,16-01-2024
77,9e82db,STMDU-1,CAMP_DIW_01,P05,55,25% OFF,92,79,-715.00,-13,5060.00,4345.00,Madurai,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Diwali,12-11-2023,18-11-2023
78,d5b8af,STVJD-1,CAMP_SAN_01,P11,190,50% OFF,25,35,1900.00,10,4750.00,6650.00,Vijayawada,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Sankranti,10-01-2024,16-01-2024
79,6d24bc,STMDU-2,CAMP_DIW_01,P03,156,25% OFF,206,179,-4212.00,-27,32136.00,27924.00,Madurai,Atliq_Suflower_Oil (1L),Grocery & Staples,Diwali,12-11-2023,18-11-2023
80,107747,STHYD-1,CAMP_SAN_01,P02,860,33% OFF,488,580,79120.00,92,419680.00,498800.00,Hyderabad,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
81,04da18,STVSK-4,CAMP_SAN_01,P03,200,BOGOF,223,604,76200.00,381,44600.00,120800.00,Visakhapatnam,Atliq_Suflower_Oil (1L),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
82,3a3e96,STBLR-6,CAMP_DIW_01,P07,300,BOGOF,68,263,58500.00,195,20400.00,78900.00,Bengaluru,Atliq_Curtains,Home Care,Diwali,12-11-2023,18-11-2023
83,8f1624,STVJD-0,CAMP_DIW_01,P10,65,50% OFF,57,75,1170.00,18,3705.00,4875.00,Vijayawada,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Diwali,12-11-2023,18-11-2023
84,b8269b,STBLR-1,CAMP_DIW_01,P13,350,BOGOF,77,232,54250.00,155,26950.00,81200.00,Bengaluru,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Diwali,12-11-2023,18-11-2023
85,c6ca4d,STHYD-2,CAMP_SAN_01,P02,860,33% OFF,465,646,155660.00,181,399900.00,555560.00,Hyderabad,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
86,987463,STBLR-0,CAMP_SAN_01,P07,300,BOGOF,45,185,42000.00,140,13500.00,55500.00,Bengaluru,Atliq_Curtains,Home Care,Sankranti,10-01-2024,16-01-2024
87,0b51fe,STHYD-3,CAMP_SAN_01,P10,50,25% OFF,39,29,-500.00,-10,1950.00,1450.00,Hyderabad,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Sankranti,10-01-2024,16-01-2024
88,d1ceaf,STBLR-5,CAMP_SAN_01,P10,50,25% OFF,36,29,-350.00,-7,1800.00,1450.00,Bengaluru,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Sankranti,10-01-2024,16-01-2024
89,d834f0,STMYS-3,CAMP_SAN_01,P08,1190,BOGOF,34,147,134470.00,113,40460.00,174930.00,Mysuru,Atliq_Double_Bedsheet_set,Home Care,Sankranti,10-01-2024,16-01-2024
90,1ed982,STCHE-6,CAMP_DIW_01,P13,350,BOGOF,75,252,61950.00,177,26250.00,88200.00,Chennai,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Diwali,12-11-2023,18-11-2023
91,e9c690,STMDU-3,CAMP_SAN_01,P09,90,25% OFF,45,38,-630.00,-7,4050.00,3420.00,Madurai,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Sankranti,10-01-2024,16-01-2024
92,268ca2,STVJD-0,CAMP_SAN_01,P15,3000,500 Cashback,63,151,264000.00,88,189000.00,453000.00,Vijayawada,Atliq_Home_Essential_8_Product_Combo,Combo1,Sankranti,10-01-2024,16-01-2024
93,a1624e,STHYD-1,CAMP_DIW_01,P02,860,33% OFF,351,449,84280.00,98,301860.00,386140.00,Hyderabad,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Diwali,12-11-2023,18-11-2023
94,31b59d,STVSK-3,CAMP_SAN_01,P10,50,25% OFF,27,21,-300.00,-6,1350.00,1050.00,Visakhapatnam,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Sankranti,10-01-2024,16-01-2024
95,82454e,STMLR-1,CAMP_DIW_01,P05,55,25% OFF,54,48,-330.00,-6,2970.00,2640.00,Mangalore,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Diwali,12-11-2023,18-11-2023
96,1548f8,STVSK-4,CAMP_SAN_01,P15,3000,500 Cashback,100,175,225000.00,75,300000.00,525000.00,Visakhapatnam,Atliq_Home_Essential_8_Product_Combo,Combo1,Sankranti,10-01-2024,16-01-2024
97,84a2f4,STCHE-7,CAMP_SAN_01,P04,370,BOGOF,423,1801,509860.00,1378,156510.00,666370.00,Chennai,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
98,9e59d5,STVSK-1,CAMP_DIW_01,P05,55,25% OFF,64,49,-825.00,-15,3520.00,2695.00,Visakhapatnam,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Diwali,12-11-2023,18-11-2023
99,873333,STMLR-0,CAMP_DIW_01,P15,3000,500 Cashback,196,509,939000.00,313,588000.00,1527000.00,Mangalore,Atliq_Home_Essential_8_Product_Combo,Combo1,Diwali,12-11-2023,18-11-2023
100,8b751b,STMLR-0,CAMP_SAN_01,P05,55,25% OFF,15,12,-165.00,-3,825.00,660.00,Mangalore,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Sankranti,10-01-2024,16-01-2024
101,f856b9,STMLR-2,CAMP_SAN_01,P15,3000,500 Cashback,66,147,243000.00,81,198000.00,441000.00,Mangalore,Atliq_Home_Essential_8_Product_Combo,Combo1,Sankranti,10-01-2024,16-01-2024
102,dcaa89,STHYD-6,CAMP_SAN_01,P13,350,BOGOF,100,403,106050.00,303,35000.00,141050.00,Hyderabad,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Sankranti,10-01-2024,16-01-2024
103,677e2c,STHYD-1,CAMP_SAN_01,P13,350,BOGOF,122,326,71400.00,204,42700.00,114100.00,Hyderabad,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Sankranti,10-01-2024,16-01-2024
104,b00eeb,STCHE-0,CAMP_SAN_01,P08,1190,BOGOF,51,196,172550.00,145,60690.00,233240.00,Chennai,Atliq_Double_Bedsheet_set,Home Care,Sankranti,10-01-2024,16-01-2024
105,8ff468,STVJD-0,CAMP_SAN_01,P03,200,BOGOF,193,773,116000.00,580,38600.00,154600.00,Vijayawada,Atliq_Suflower_Oil (1L),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
106,72f6b4,STTRV-0,CAMP_SAN_01,P02,860,33% OFF,241,344,88580.00,103,207260.00,295840.00,Trivandrum,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
107,300664,STHYD-5,CAMP_DIW_01,P13,350,BOGOF,80,276,68600.00,196,28000.00,96600.00,Hyderabad,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Diwali,12-11-2023,18-11-2023
108,7ecbbb,STHYD-1,CAMP_DIW_01,P06,415,25% OFF,103,88,-6225.00,-15,42745.00,36520.00,Hyderabad,Atliq_Fusion_Container_Set_of_3,Home Care,Diwali,12-11-2023,18-11-2023
109,2dc515,STMYS-3,CAMP_SAN_01,P01,172,33% OFF,232,294,10664.00,62,39904.00,50568.00,Mysuru,Atliq_Masoor_Dal (1KG),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
110,a4fb0b,STMDU-0,CAMP_SAN_01,P02,860,33% OFF,318,448,111800.00,130,273480.00,385280.00,Madurai,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
111,f2d198,STTRV-1,CAMP_DIW_01,P03,156,25% OFF,166,157,-1404.00,-9,25896.00,24492.00,Trivandrum,Atliq_Suflower_Oil (1L),Grocery & Staples,Diwali,12-11-2023,18-11-2023
112,df5c15,STBLR-5,CAMP_DIW_01,P06,415,25% OFF,101,90,-4565.00,-11,41915.00,37350.00,Bengaluru,Atliq_Fusion_Container_Set_of_3,Home Care,Diwali,12-11-2023,18-11-2023
113,4e6a19,STHYD-3,CAMP_SAN_01,P07,300,BOGOF,45,121,22800.00,76,13500.00,36300.00,Hyderabad,Atliq_Curtains,Home Care,Sankranti,10-01-2024,16-01-2024
114,6436da,STMDU-1,CAMP_SAN_01,P08,1190,BOGOF,30,118,104720.00,88,35700.00,140420.00,Madurai,Atliq_Double_Bedsheet_set,Home Care,Sankranti,10-01-2024,16-01-2024
115,852b4f,STHYD-5,CAMP_SAN_01,P12,62,50% OFF,49,70,1302.00,21,3038.00,4340.00,Hyderabad,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Sankranti,10-01-2024,16-01-2024
116,26322a,STMLR-0,CAMP_DIW_01,P10,65,50% OFF,52,71,1235.00,19,3380.00,4615.00,Mangalore,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Diwali,12-11-2023,18-11-2023
117,57576d,STBLR-5,CAMP_SAN_01,P08,1190,BOGOF,49,194,172550.00,145,58310.00,230860.00,Bengaluru,Atliq_Double_Bedsheet_set,Home Care,Sankranti,10-01-2024,16-01-2024
118,af646e,STHYD-4,CAMP_SAN_01,P11,190,50% OFF,54,78,4560.00,24,10260.00,14820.00,Hyderabad,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Sankranti,10-01-2024,16-01-2024
119,ccbc3a,STTRV-0,CAMP_DIW_01,P06,415,25% OFF,52,49,-1245.00,-3,21580.00,20335.00,Trivandrum,Atliq_Fusion_Container_Set_of_3,Home Care,Diwali,12-11-2023,18-11-2023
120,572031,STBLR-6,CAMP_SAN_01,P03,200,BOGOF,423,1734,262200.00,1311,84600.00,346800.00,Bengaluru,Atliq_Suflower_Oil (1L),Grocery & Staples,Sankranti,10-01-2024,16-01-2024
121,5a21a5,STBLR-4,CAMP_SAN_01,P10,50,25% OFF,31,26,-250.00,-5,1550.00,1300.00,Bengaluru,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Sankranti,10-01-2024,16-01-2024
122,c6bf42,STCBE-3,CAMP_DIW_01,P07,300,BOGOF,52,173,36300.00,121,15600.00,51900.00,Coimbatore,Atliq_Curtains,Home Care,Diwali,12-11-2023,18-11-2023
